Filename,BPS,HRV,LF/HF,VLF,LF,HF
day1test10400am.csv,1.108343043891724,0.0900684405994264,1.0886694520476445,2110.100370591663,3064.8220333378827,2815.199808879871
day1test1430.csv,1.474452212264815,0.08442052435660645,0.6518894298336456,1040.2880103245725,1366.0448222790374,2095.5161408701406
day1test2530.csv,1.362943958951335,0.07370949711806399,0.716727514098978,916.3033089790063,1729.050107246371,2412.423233702724
day1test3640.csv,1.3907545352166184,0.06564544186216896,1.030314619041782,1746.8749882182801,1443.716436165753,1401.2384270626433
day1test4740.csv,1.2967972228040232,0.06779613765622709,0.8933492284212886,1200.37743934012,2430.834200527623,2721.0346448984474
day1test5845.csv,1.3531694234941403,0.08325875325899268,0.7395013348034145,2265.510200456858,2163.147041819772,2925.142849667489
day1test6945.csv,1.4607632961772796,0.06322024095282866,0.8144029564049431,1444.180273939317,1237.9263619096146,1520.0415865068203
day1test71100.csv,1.3363431756068807,0.06570688642932465,0.7371552583676094,1002.8135169463372,1916.4345572378545,2599.7705849398612
day1test81210.csv,1.1827539067735275,0.07120314003615506,0.3227848791050062,666.4911647201858,803.31055794793,2488.6870790703997
day1test9250am.csv,0.9910055194585624,0.10625074907029392,0.5628042589302815,1565.0954324131658,3423.818482837707,6083.497820974804
