55530509,46603,0
55533668,49500,0
55536866,53773,0
55540041,55261,0
55542587,54077,0
55545750,51804,0
55548853,53020,0
55551942,56893,0
55555020,59774,0
55558131,58686,0
55561247,54477,0
55564339,51516,0
55567385,52332,0
55571165,53533,0
55574302,51244,0
55577339,46859,0
55580434,44346,0
55583604,45083,0
55586698,44922,0
55589811,41706,0
55592900,36216,0
55595994,32199,0
55599104,30247,0
55602197,28727,0
55605329,25894,0
55609107,22581,0
55612190,22165,0
55615319,22421,0
55618357,21493,0
55621520,19668,0
55624618,17908,0
55627727,18820,0
55630829,21461,0
55633921,22597,0
55637014,21381,0
55640111,20148,0
55643232,19076,0
55646975,21637,0
55650117,23061,0
55653236,22773,0
55656329,22005,0
55659437,21349,0
55662592,23157,0
55665677,25110,0
55668766,24630,0
55671866,23941,0
55674948,22533,0
55678721,24886,0
55681836,26806,0
55684949,26342,0
55688041,25238,0
55691143,23109,0
55694274,23253,0
55697327,25590,0
55700384,26902,0
55704171,25766,0
55707257,23573,0
55710339,22757,0
55713412,25094,0
55716533,26054,0
55719627,25190,0
55722728,24069,0
55725839,23125,0
55728962,25078,0
55732047,27558,0
55735151,28855,0
55738252,28198,0
55742011,27814,0
55745091,29527,0
55748210,34328,0
55751345,40121,0
55754384,43242,0
55757538,42442,0
55760611,40249,0
55763708,39913,0
55766870,42826,0
55769948,46027,0
55773076,47531,0
55776164,46267,0
55779960,46411,0
55783076,50172,0
55786161,55453,0
55789283,59310,0
55792334,60126,0
55795436,59502,0
55798590,61871,0
55801691,64287,0
55804807,64463,0
55807890,64447,0
55811662,64367,0
55814748,64399,0
55817847,64447,0
55820926,64591,0
55824006,64543,0
55827086,64623,0
55830195,64639,0
55833304,64639,0
55836348,64623,0
55839447,64703,0
55841949,64543,0
55845043,64591,0
55848142,64463,0
55851256,64655,0
55854310,64575,0
55858073,64639,0
55861214,64703,0
55864328,64639,0
55867360,64655,0
55870453,64383,0
55873608,64575,0
55876719,64559,0
55879808,64303,0
55882896,64287,0
55885958,64671,0
55889046,64623,0
55892129,64671,0
55895251,64719,0
55898339,64719,0
55901385,64655,0
55904473,64703,0
55907606,64655,0
55910694,64719,0
55914487,64607,0
55917588,64591,0
55920672,64575,0
55923764,64671,0
55926891,64831,0
55929985,64911,0
55933079,64463,0
55936176,65071,0
55939303,64607,0
55942337,64591,0
55946158,64767,0
55949242,64767,0
55952322,64687,0
55955362,64511,0
55958486,64607,0
55961603,64719,0
55964696,64623,0
55967793,64863,0
55970875,64815,0
55974022,64687,0
55977805,64767,0
55980911,64751,0
